"","V1","V5","V10","V11","V26","V36","V37","V42","V44","V47","V48","V51","V54","V60","V70","V74","V77","V88","V91","V96","V99","V114","V120","V122","V123","V127","V128","V134","V139","V140","V142","V148","V151","V153","V160","V162","V166","V173","V178","V180","V181","V186","V191","V192","V193","V197","V204","V210","V212","V214","V216","V219","V223","V228","V257","V258","V262","V270","V271","V281","V283","V287","V293","V296","V308","V312","V313","V317","V321","V329","V333","V343","V347","V348","V349","V355","V360","V364","V366","V367","V371","V373","V377","V385","V388","V392","V393","V394","V424","V432","V436","V437","V440","V446","V450","V458","V470","V480","V483","V499"
"123",8,7,14,11,12,12,17,11,14,8,15,17,14,17,12,10,8,14,13,21,13,13,10,3,0,14,13,18,17,13,10,14,11,18,15,20,1,15,17,17,13,9,20,17,11,15,18,3,12,16,14,18,20,15,18,20,21,25,19,11,23,17,20,21,14,13,14,16,18,19,15,19,19,12,11,13,21,15,14,13,19,21,15,14,20,17,13,15,12,10,12,23,16,16,19,20,8,14,21,20
"127",6,7,8,3,4,4,11,3,8,10,9,11,6,11,4,12,8,6,5,15,5,7,10,15,14,0,5,12,9,13,12,14,11,12,17,14,13,7,11,17,5,9,14,17,11,7,12,15,14,8,6,12,14,15,12,14,15,19,13,13,17,9,14,15,6,5,14,8,18,13,15,11,13,12,11,5,15,7,6,5,11,13,7,14,14,9,5,7,12,10,14,17,16,16,13,14,8,14,15,14
"128",5,6,7,2,3,3,10,2,7,9,8,10,5,10,3,11,7,5,4,14,4,6,9,14,13,5,0,11,8,12,11,13,10,11,16,13,12,6,10,16,4,8,13,16,10,6,11,14,13,7,5,11,13,14,11,13,14,18,12,12,16,8,13,14,5,4,13,7,17,12,14,10,12,11,10,4,14,6,1,4,10,12,6,13,13,8,4,6,11,9,13,16,15,15,12,13,7,13,14,13
"134",10,11,8,9,10,10,5,9,8,14,9,5,12,11,10,16,12,12,11,19,11,7,14,19,18,12,11,0,15,17,16,18,15,6,21,14,17,13,11,21,11,13,18,21,15,13,12,19,18,14,12,12,18,19,6,18,9,13,17,17,21,15,8,19,12,11,18,14,22,13,19,17,13,16,15,11,19,13,12,11,17,19,13,18,14,15,11,13,16,14,18,11,20,20,13,18,12,18,9,8
"139",9,10,11,6,5,7,14,6,11,13,12,14,9,14,7,15,11,7,8,18,8,10,13,18,17,9,8,15,0,16,15,17,14,15,20,17,16,10,14,20,8,12,17,20,14,10,15,18,17,3,9,15,17,18,15,17,18,22,16,16,20,10,17,18,9,6,17,11,21,16,18,14,16,15,14,8,18,10,9,8,6,14,2,17,17,10,8,10,15,13,17,20,19,19,16,17,11,17,18,17
"140",7,6,13,10,11,11,16,10,13,9,14,16,13,16,11,11,7,13,12,20,12,12,9,14,13,13,12,17,16,0,11,13,10,17,16,19,12,14,16,16,12,8,19,16,10,14,17,14,13,15,13,17,19,14,17,19,20,24,18,12,22,16,19,20,13,12,13,15,17,18,14,18,18,11,10,12,20,14,13,12,18,20,14,1,19,16,12,14,11,9,13,22,15,15,18,19,7,13,20,19
"142",6,5,12,9,10,10,15,9,12,2,13,15,12,15,10,4,6,12,11,19,11,11,8,11,10,12,11,16,15,11,0,12,9,16,9,18,9,13,15,15,11,7,18,15,9,13,16,11,6,14,12,16,18,13,16,18,19,23,17,5,21,15,18,19,12,11,12,14,16,17,13,17,17,10,9,11,19,13,12,11,17,19,13,12,18,15,11,13,10,8,2,21,14,14,17,18,6,12,19,18
"148",8,7,14,11,12,12,17,11,14,10,15,17,14,17,12,12,8,14,13,21,13,13,10,15,14,14,13,18,17,13,12,0,11,18,17,20,13,15,17,15,13,9,20,15,11,15,18,15,14,16,14,18,20,15,18,20,21,25,19,13,23,17,20,21,14,13,14,16,18,19,15,19,19,10,11,13,21,15,14,13,19,21,15,14,20,17,13,15,12,8,14,23,14,16,19,20,8,14,21,20
"151",5,4,11,8,9,9,14,8,11,7,12,14,11,14,9,9,5,11,10,18,10,10,3,12,11,11,10,15,14,10,9,11,0,15,14,17,10,12,14,14,10,6,17,14,8,12,15,12,11,13,11,15,17,12,15,17,18,22,16,10,20,14,17,18,11,10,11,13,15,16,4,16,16,9,8,10,18,12,11,10,16,18,12,11,17,14,10,12,9,7,11,20,13,9,16,17,5,3,18,17
"153",10,11,8,9,10,10,5,9,8,14,9,5,12,11,10,16,12,12,11,19,11,7,14,19,18,12,11,6,15,17,16,18,15,0,21,14,17,13,11,21,11,13,18,21,15,13,12,19,18,14,12,12,18,19,6,18,9,13,17,17,21,15,8,19,12,11,18,14,22,13,19,17,13,16,15,11,19,13,12,11,17,19,13,18,14,15,11,13,16,14,18,11,20,20,13,18,12,18,9,2
"160",11,10,17,14,15,15,20,14,17,7,18,20,17,20,15,5,11,17,16,24,16,16,13,16,15,17,16,21,20,16,9,17,14,21,0,23,14,18,20,20,16,12,23,20,14,18,21,16,7,19,17,21,23,18,21,23,24,28,22,10,26,20,23,24,17,16,17,19,21,22,18,22,22,15,14,16,24,18,17,16,22,24,18,17,23,20,16,18,15,13,11,26,19,19,22,23,11,17,24,23
