iteration,logLikelihood,logPrior,theta,mutation_rate,infection_rate,1,2,3,4,5,6,7,8,9,10,1_InfTime,2_InfTime,3_InfTime,4_InfTime,5_InfTime,6_InfTime,7_InfTime,8_InfTime,9_InfTime,10_InfTime
46000,-1035.5885988818825,8.753396391353375,6.529907915902494e-7,1.3752797252372508e-5,3.014286842552798,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.028471459501540335,0.8071463795410367,1.2496580266853825,1.6500104699833933,1.9212039775137812,0.8072908984541054,2.6960413517719575,2.923446935431818
47000,-1036.915144805291,7.959537200865379,7.534538803294192e-7,1.1672638715607801e-5,3.1419934201949586,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.06120848047779757,0.807092786707196,1.2496580266853825,1.6500104699833933,1.8777284864798465,0.8073701496521329,2.6594729029685427,2.926628411268488
48000,-1034.9427864309243,6.609779907044441,3.711218323480658e-7,1.3254105706639563e-5,3.436808643392448,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.10269362875477185,0.8073801008468741,1.2496580266853825,1.599924639903642,1.9241052730223585,0.8070868579969079,2.721499591114302,2.926628411268488
49000,-1037.3716963193472,8.379273427669128,1.4070244092462392e-6,1.152037825880861e-5,3.052141447831062,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1002465852531498,0.8071628640191225,1.2496580266853825,1.6024018076794992,1.869294976382932,0.807102225789002,2.7269510802028147,2.926628411268488
50000,-1037.3026373598059,2.832286203290852,7.710095824803767e-8,1.5966820539947602e-5,3.8580237515013547,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.03764810567425459,0.8072698779022351,1.2496580266853825,1.6276370130581053,1.8086909409797531,0.8071190327951284,2.713240055356826,2.9056950980236267
51000,-1037.6113013291701,7.470341942829912,1.5227207046976326e-6,1.083853048228491e-5,2.8437245624136995,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.12414910632764649,0.8071242196940943,1.2496580266853825,1.62215152628688,1.9404035412087894,0.8071193689398416,2.639473234028585,2.928855664863046
52000,-1035.5568755159259,11.783147579290242,7.693895522393058e-7,1.4628622363784568e-5,2.653206442046445,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.12987012313409757,0.8073909672359298,1.2496580266853825,1.6464882727926229,1.9427344690031032,0.8073891310811468,2.7240703449306807,2.928855664863046
53000,-1036.606676441505,10.560709325428082,1.2599706684195254e-6,1.3865247507153331e-5,1.480863145795979,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1452974617277211,0.8071322734444476,1.2496580266853825,1.6115218594895822,1.9447822309838583,0.8073301098356536,2.722207711261227,2.928855664863046
54000,-1035.3416761425717,9.122487949202059,6.39865114653001e-7,1.4281161243396772e-5,1.4758029413652132,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.077658801239917,0.8071228491171122,1.2496580266853825,1.6286244926506153,1.9218057813771963,0.8073758516045364,2.7249110970757964,2.928855664863046
55000,-1037.3834256176133,-0.3144234831550112,3.095301619084749e-8,1.1116532141937658e-5,2.5599491767195826,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.019779425540383457,0.8071987838593001,1.1485630775398175,1.3185281053000764,1.8351704642429638,0.8071953285303419,2.6686087286010927,2.928855664863046
56000,-1038.5428732281941,1.2965685700627185,1.2380439654061698e-6,1.3320207543697795e-5,1.4315740760900062,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.05319977424197346,0.8071463234872797,0.9681067623600522,1.588758963400601,1.8326600913448965,0.8071878833784647,2.719677624631563,2.9287401852997212
57000,-1035.3190437160713,4.856416953465217,4.959614098807132e-7,1.466725240259755e-5,2.289096425535743,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.13757996340707862,0.8073864099359602,1.0834437975880071,1.5212502433931423,1.9430422827967022,0.8070957367048454,2.7234633297788315,2.9287401852997212
58000,-1034.8658415235757,3.6884729589277656,3.4289638984482315e-7,1.3237230048859789e-5,1.3674412025530112,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.16287030282002088,0.8072914942589469,1.1128860741778444,1.6369331640037181,1.9376928809339073,0.8073642879500816,2.722523355629631,2.909557350633929
59000,-1036.3616659166987,3.645984346275008,8.948015133943589e-7,1.3536764653180772e-5,1.6644192308536812,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.15603851443025285,0.8071013103829141,1.2337247329831584,1.6351250549799674,1.9376928809339073,0.8073128436431828,2.679118653946225,2.907917661976546
60000,-1035.9566355036009,3.0774595166794043,2.0551374441378278e-8,1.1909920244770391e-5,1.7311671115566185,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.06406146525185286,0.8073065845930896,1.2202379099809546,1.6351250549799674,1.9376928809339073,0.8073518441894303,2.6941130798039103,2.8847023039177033
